,Step,rank0,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank6,rank9
487,487,201,23,201,23,201,29,201,201,201,26
488,488,201,19,201,22,201,28,201,27,201,27
489,489,201,20,201,21,201,24,201,30,201,25
490,490,201,36,201,20,201,30,201,33,201,41
491,491,201,23,201,19,201,30,201,30,201,32
492,492,201,23,201,25,201,29,201,31,201,30
493,493,201,24,201,21,201,28,201,201,201,24
494,494,201,23,201,24,201,27,201,27,201,25
495,495,201,17,201,20,201,30,201,201,201,22
496,496,201,21,201,22,201,35,201,27,201,26
497,497,201,23,201,25,201,29,201,29,201,24
498,498,201,22,201,24,201,26,201,31,201,26
499,499,201,23,201,20,201,23,201,201,201,28
500,500,201,22,201,24,201,32,201,32,201,30
501,501,201,17,201,18,201,25,201,201,201,31
502,502,201,21,201,23,201,24,201,32,201,201
503,503,201,21,201,27,201,37,201,31,201,30
504,504,201,20,201,22,201,201,201,22,201,21
505,505,201,23,201,21,201,34,201,201,201,27
506,506,201,25,201,201,201,31,201,27,201,25
507,507,201,26,201,201,201,29,201,23,201,24
508,508,201,21,201,21,201,29,201,35,201,28
509,509,201,22,201,28,201,31,201,42,201,29
510,510,201,20,201,27,201,31,201,28,201,34
511,511,201,25,201,19,201,41,201,27,201,24
512,512,201,24,201,201,201,30,201,24,201,33
513,513,201,20,201,21,201,29,201,36,201,20
514,514,201,22,201,21,201,27,201,26,201,29
515,515,201,21,201,25,201,27,201,33,201,30
516,516,201,21,201,23,201,34,201,201,201,31
517,517,201,21,201,20,201,24,201,30,201,22
518,518,201,22,201,19,201,201,201,29,201,27
519,519,201,21,201,21,201,30,201,36,201,25
520,520,201,18,201,24,201,27,201,31,201,25
521,521,201,23,201,22,201,201,201,33,201,27
522,522,201,25,201,24,201,39,201,201,201,29
523,523,201,24,201,20,201,33,201,28,201,28
524,524,201,21,201,27,201,201,201,24,201,21
525,525,201,23,201,20,201,24,201,28,201,29
526,526,201,37,201,20,201,32,201,29,201,24
527,527,201,23,201,17,201,22,201,29,201,27
528,528,201,23,201,19,201,30,201,27,201,30
529,529,201,19,201,22,201,26,201,201,201,201
530,530,201,21,201,19,201,30,201,201,201,32
531,531,201,22,201,28,201,30,201,201,201,29
532,532,201,23,201,24,201,35,201,201,201,28
533,533,201,21,201,23,201,28,201,30,201,25
534,534,201,19,201,20,201,25,201,37,201,25
535,535,201,19,201,23,201,31,201,28,201,25
536,536,201,21,201,20,201,26,201,201,201,27
537,537,201,22,201,201,201,24,201,27,201,23
538,538,201,20,201,21,201,34,201,34,201,28
539,539,201,21,201,21,201,24,201,29,201,27
540,540,201,21,201,21,201,32,201,37,201,25
541,541,201,23,201,24,201,31,201,30,201,29
542,542,201,21,201,22,201,30,201,201,201,30
543,543,201,19,201,20,201,24,201,201,201,26
544,544,201,20,201,201,201,26,201,30,201,30
545,545,201,23,201,25,201,32,201,28,201,24
546,546,201,23,201,21,201,201,201,201,201,30
547,547,201,23,201,24,201,30,201,27,201,26
548,548,201,24,201,201,201,25,201,25,201,25
549,549,201,22,201,23,201,37,201,29,201,28
550,550,201,21,201,20,201,33,201,30,201,28
551,551,201,24,201,20,201,26,201,22,201,26
552,552,201,22,201,22,201,34,201,201,201,25
553,553,201,22,201,201,201,20,201,30,201,26
554,554,201,23,201,20,201,25,201,27,201,26
555,555,201,21,201,21,201,24,201,31,201,201
556,556,201,22,201,19,201,29,201,29,201,23
557,557,201,22,201,20,201,28,201,201,201,25
558,558,201,19,201,20,201,29,201,35,201,27
559,559,201,22,201,22,201,36,201,32,201,23
560,560,201,20,201,19,201,28,201,201,201,26
561,561,201,22,201,24,201,30,201,201,201,23
562,562,201,201,201,201,201,27,201,201,201,27
563,563,201,21,201,27,201,21,201,201,201,30
564,564,201,60,201,20,201,29,201,27,201,25
565,565,201,24,201,25,201,25,201,28,201,25
566,566,201,17,201,29,201,26,201,201,201,27
567,567,201,20,201,24,201,26,201,28,201,28
568,568,201,25,201,23,201,26,201,28,201,25
569,569,201,21,201,24,201,27,201,27,201,28
570,570,201,21,201,23,201,27,201,24,201,28
571,571,201,19,201,23,201,31,201,201,201,23
